Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
HFWA,"Heritage Financial",746626000,11.82,1.86,43260000,0.53,0.95,4.32%,2025-10-23
HI,"Hillenbrand Inc",2219478000,11.75,2.68,-211000000.,1.46,0.9,2.86%,2025-11-12
HIW,"Highwoods Properties",3246513000,8.66,1.19,102250000,1.24,2,6.66%,2025-10-28
HL,"Hecla Mining Company",9332878000,73.32,0.19,35800000,1.31,0.025,0.18%,2025-11-05
HLIT,"Harmonic Inc",1160352000,14.37,0.71,39220000,1.01,0.00,0.00%,2025-11-03
HLX,"Helix Energy Solutions Group",928952000,19.75,0.32,55640000,1.53,0.00,0.00%,2025-10-22
HMN,"Horace Mann Educators Corp",1790217000,9.75,4.51,102800000,0.21,1.39,3.16%,2025-11-04
HNI,"Hon Industries Inc",2017208000,12.77,3.45,139500000,0.95,1.34,3.04%,2025-10-28
HOPE,"Hope Bancorp Inc",1311281000,12.95,0.79,99630000,0.92,0.56,5.47%,2025-10-28
HP,"Helmerich & Payne",2298059000,13.51,1.71,344170000,0.91,1,4.33%,2025-11-17
HRMY,"Harmony Biosciences Holdings Inc",1490105000,8.35,3.1,145490000,0.79,0.00,0.00%,2025-11-04
HSII,"Heidrick & Struggl",1207043000,17.53,3.32,8730000,1.03,0.6,1.03%,2025-11-03
HSTM,"Healthstream Inc",786672000,39.61,0.67,20010000,0.47,0.121,0.46%,2025-10-20
HTH,"Hilltop Holdings Inc",2001573000,14.25,2.23,113210000,0.87,0.71,2.23%,2025-10-23
HTLD,"Heartland Express",635520000,0,-0.46,-29720000.,1.06,0.08,0.97%,2025-11-04
HTO,"H2O America",1772466000,15.85,3.17,93970000,0.53,1.66,3.30%,2025-10-27
HTZ,"Hertz Global Holdings Inc",1620749000,0,-3.32,-2862000000.,2.16,0.00,0.00%,2025-11-04
HUBG,"Hub Group Inc A",2235142000,19.32,1.89,103990000,1.12,0.5,1.37%,2025-10-30
HWKN,"Hawkins Inc",3376855000,39.84,4.06,84350000,0.84,0.73,0.45%,2025-10-29
HZO,"Marinemax Inc",547761000,22.58,1.13,38070000,1.53,0.00,0.00%,2025-10-30
IAC,"Iac Inc",2434064000,0,-5.55,-539900000.,1.23,0.00,0.00%,2025-11-03
IART,"Integra Lifesciences",1174898000,6.73,2.24,-6940000.,1.21,0.00,0.00%,2025-10-30
IBP,"Installed Building Products",7022782000,25.2,10.2,256600000,1.83,3.16,1.23%,2025-11-06
ICHR,"Ichor Holdings Ltd",754851000,0,-0.16,-20820000.,1.88,0.00,0.00%,2025-11-03
ICUI,"I C U Medical Inc",2924304000,19.91,5.95,-117690000.,0.83,0.00,0.00%,2025-11-11
IDCC,"Interdigital Inc",9465464000,22.52,16.29,358610000,1.44,2.35,0.64%,2025-10-30
IIIN,"Insteel Industries",598992000,14.22,1.67,19310000,0.79,1.12,3.63%,2025-10-16
IIPR,"Innovative Industrial Properties",1505115000,6.61,4.62,161660000,1.64,7.6,14.15%,2025-11-05
INDB,"Independent Bk Corp",3305937000,13.06,4.53,192080000,0.85,2.34,3.53%,2025-10-16
INN,"Summit Hotel Properties",579952000,5.86,-0.09,41020000,1.7,0.32,6.00%,2025-11-04
INSP,"Inspire Medical Systems Inc",2307067000,33.92,2.3,53510000,1.16,0.00,0.00%,2025-11-03
INSW,"International Seaways Inc",2276267000,10.75,4.29,416720000,0.01,0.48,1.04%,2025-11-06
INVA,"Innoviva Inc",1088373000,10.73,1.61,23390000,0.4,0.00,0.00%,2025-11-05
INVX,"Innovex International Inc",1207071000,13.6,1.29,140330000,0.74,0.00,0.00%,2025-11-06
IOSP,"Innospec Inc",1839629000,13.62,5.44,35600000,1.04,1.63,2.20%,2025-11-04
IPAR,"Interparfums Inc",3159448000,19.44,5.06,164360000,1.35,3.15,3.20%,2025-11-05
ITGR,"Integer Holdings Corp",3672718000,18.33,5.72,119900000,0.97,0.00,0.00%,2025-10-23
ITRI,"Itron Inc",6004144000,20.75,6.33,239110000,1.48,0.00,0.00%,2025-10-30
JBGS,"Jbg Smith Properties",1259787000,31.4,-1.89,-143530000.,1.35,0.7,3.43%,2025-10-28
JBLU,"Jetblue Airways Corp",1694674000,0,-1.12,-795000000.,1.82,0.00,0.00%,2025-10-28
JBSS,"John B Sanfilippo",712085000,12.16,5.03,58930000,0.37,1.5,2.45%,2025-10-29
JBTM,"Jbt Marel Corporation",6827299000,23.21,5.66,85400000,1.21,0.4,0.30%,2025-10-28
JJSF,"J J Snack Foods",1809551000,21.72,4.28,86550000,0.38,3.14,3.38%,2025-11-12
JOE,"St. Joe Company",2787112000,33.89,1.42,74190000,1.31,0.56,1.16%,2025-10-29
JXN,"Jackson Financial Inc Cl A",6705302000,5.01,19.67,946000000,1.45,3.1,3.22%,2025-11-04
KAI,"Kadant Inc",3556654000,31.79,9.5,111600000,1.22,1.34,0.44%,2025-11-04
KALU,"Kaiser Aluminum",1263016000,22.37,3.49,46800000,1.49,3.08,3.95%,2025-10-22
KAR,"Openlane Inc",2779850000,23.56,1.11,109900000,1.33,0.00,0.00%,2025-11-05
KFY,"Korn/Ferry International",3583544000,13.6,5.03,246060000,1.47,1.81,2.65%,2025-12-04
KGS,"Kodiak Gas Services Inc",3033940000,22.01,1.59,49900000,1.32,1.72,4.91%,2025-11-05
KLIC,"Kulicke and Soffa",2026393000,0,-0.18,-69010000.,1.57,0.82,2.11%,2025-11-12
KMT,"Kennametal Inc",1684648000,16.41,1.35,93130000,1.46,0.8,3.61%,2025-11-05
KN,"Knowles Corp",2013215000,33.49,0.7,-237800000.,1.53,0.00,0.00%,2025-10-23
KNTK,"Kinetik Holdings Inc",5798786000,48.39,0.74,244230000,3.11,3.12,8.71%,2025-11-05
KOP,"Koppers Holdings Inc",527206000,6.18,4.33,52400000,1.41,0.31,1.16%,2025-11-14
KREF,"KKR Real Estate Finance Trust Inc",566784000,0,-0.03,35590000,0.89,1,11.59%,2025-10-21
KRYS,"Krystal Biotech Inc",5505827000,38.66,4.92,89160000,0.64,0.00,0.00%,2025-11-03
KSS,"Kohl's Corp",1736042000,9.8,1.58,109000000,1.71,0.875,5.65%,2025-11-25
KTB,"Kontoor Brands Inc",4711564000,16.43,5.16,245800000,1.15,2.08,2.45%,2025-11-03
KW,"Kennedy-Wilson Holdings Inc",1082515000,17.07,0.46,-33000000.,1.18,0.48,6.11%,2025-11-05
KWR,"Quaker Chemical Corp",2270396000,20.05,6.51,116640000,1.42,2.448,1.88%,2025-10-30
LBRT,"Liberty Energy Inc",2481166000,76.6,0.71,316010000,0.74,0.32,2.09%,2025-10-16
LCII,"Lci Industries",2136865000,13.9,6.34,142870000,1.31,4.6,5.22%,2025-10-30
LEG,"Leggett & Platt Inc",1200563000,8.29,1.07,-511500000.,0.72,0.2,2.25%,2025-10-27
LGIH,"LGI Homes Inc",1041945000,6.53,6.92,196070000,1.77,0.00,0.00%,2025-11-04
LGND,"Ligand Pharm",3559795000,0,-4.,-4030000.,0.95,0.00,0.00%,2025-11-06
LKFN,"Lakeland Finl Corp",1525928000,16.29,3.67,93480000,0.59,1.98,3.31%,2025-10-27
LMAT,"Lemaitre Vascular",1960451000,42.04,2.06,44040000,0.77,0.76,0.88%,2025-11-06
LNC,"Lincoln National Corp",7306414000,4.86,7.93,3275000000,1.43,1.8,4.67%,2025-10-30
LNN,"Lindsay Corp",1410648000,18.66,6.96,66260000,0.82,1.45,1.12%,2025-10-23
LPG,"Dorian Lpg Ltd",1147231000,20.69,1.3,90170000,0.77,0.00,0.00%,2025-10-30
LQDT,"Liquidity Services",725011000,18.57,1.25,19990000,1.09,0.00,0.00%,2025-12-11
LRN,"Stride Inc",6323733000,19.91,7.28,287940000,0.07,0.00,0.00%,2025-10-28
LTC,"Ltc Properties",1622409000,12.45,1.82,91040000,0.68,2.28,6.47%,2025-11-04
LUMN,"Lumen Technologies Inc",7080373000,0,-0.2,-55000000.,1.45,0.00,0.00%,2025-10-30
LXP,"Lxp Industrial Trust",2801094000,14.8,0.28,44530000,1.05,0.54,5.70%,2025-10-30
LZB,"La-Z-Boy Inc",1326866000,11.58,2.78,99560000,1.23,0.88,2.73%,2025-11-18
MAC,"Macerich Company",4357427000,11.49,-1.75,-194120000.,2.23,0.68,3.94%,2025-11-04
MAN,"Manpower Inc",1560470000,10.98,3.53,145100000,1.08,2.26,6.70%,2025-10-16
MARA,"Mara Holdings Inc",7249863000,0,-0.35,541250000,6.33,0.00,0.00%,2025-11-11
MATW,"Matthews Intl Corp",712812000,17.67,1.31,-59660000.,1.29,1,4.32%,2025-11-20
MATX,"Matson Inc",3003742000,6.39,14.79,476400000,1.21,1.38,1.46%,2025-10-29
MBC,"Masterbrand Inc",1615922000,10.71,1.19,125900000,1.42,0.00,0.00%,2025-11-04
MC,Moelis,5314585000,26.34,2.57,136020000,1.77,2.55,3.77%,2025-10-29
MCRI,"Monarch Casino",1727784000,17.78,5.32,72770000,1.49,1.2,1.27%,2025-10-21
MCW,"Mister Car Wash Inc",1567647000,14.97,0.32,70240000,1.46,0.00,0.00%,2025-10-29
MCY,"Mercury General Corp",4418934000,14,5.7,467950000,0.98,1.27,1.59%,2025-11-04
MD,"Pediatrix Medical Group Inc",1432532000,9.56,1.72,-99070000.,1.26,0.00,0.00%,2025-11-07
MDU,"Mdu Res Group Inc",3917025000,16.96,1.13,281110000,0.7,0.56,2.92%,2025-11-06
MGEE,"Mge Energy Inc",3080855000,23.42,3.6,120570000,0.79,1.825,2.16%,2025-11-05
MGPI,"MGP Ingredients Inc",522743000,5.86,4.19,34660000,0.37,0.48,1.96%,2025-10-29
MGY,"Magnolia Oil & Gas Corp",4352490000,11.46,1.99,366030000,1.24,0.58,2.54%,2025-10-29
MHO,"M/I Homes",3686550000,7.56,18.21,563730000,1.7,0.00,0.00%,2025-10-22
MIR,"Mirion Technologies Inc",5654958000,60.42,0.4,-36100000.,0.88,0.00,0.00%,2025-10-28
MKTX,"Marketaxess Holdings",6398957000,22.83,7.5,274180000,0.89,3.02,1.76%,2025-11-07
MLKN,"Millerknoll Inc",1139404000,8.15,2.04,-36900000.,1.35,0.75,4.51%,2025-09-23
MMI,"Marcus & Millichap",1141832000,0,-0.31,-12360000.,1.28,0.5,1.71%,2025-11-07
MMSI,"Merit Medical Sys",4847668000,23.39,3.5,120360000,0.58,0.00,0.00%,2025-10-30
MNRO,"Monro Muffler Brak",522234000,35.55,0.49,-5180000.,1.08,1.12,6.43%,2025-10-29
MODG,"Topgolf Callaway Brands Corp",1678697000,228.25,0.04,-1447700000.,1.24,0.00,0.00%,2025-11-11
MOG.A,"Moog Inc Cl A",6457241000,24.77,8.23,207220000,1.08,1.15,0.56%,2025-11-07
MPW,"Medical Properties Trust",3089654000,8.29,-2.39,-2410270000.,1.39,0.32,6.23%,2025-11-06
MRCY,"Mercury Sys Inc",4533986000,581.08,0.13,-37900000.,0.82,0.00,0.00%,2025-11-04
MRP,"Millrose Properties Inc",5429990000,0,1.07,-246220000.,N/A,1.8,5.50%,2025-10-23
MRTN,"Marten Transport L",881231000,41.58,0.26,26920000,0.95,0.24,2.22%,2025-10-16
MSEX,"Middlesex Water Company",1050211000,24.09,2.42,44350000,0.83,1.36,2.33%,2025-10-31
MSGS,"Madison Square Garden Sports Corp",5256030000,0,-0.92,-22440000.,0.78,0.00,0.00%,2025-11-07
MTH,"Meritage Corp",4990881000,6.31,11.12,786190000,1.42,1.665,2.37%,2025-10-28
MTRN,"Materion Corp",2670673000,23.6,5.46,5890000,0.91,0.55,0.43%,2025-10-29
MTUS,"Metallus Inc",690966000,165.2,0.1,1300000,1.44,0.00,0.00%,2025-11-06
MTX,"Minerals Technologies Inc",1859655000,10.4,5.7,167100000,1.23,0.44,0.74%,2025-10-23
MWA,"Mueller Water Products",3946424000,21.96,1.15,115900000,1.18,0.268,1.06%,2025-11-05
MXL,"Maxlinear Inc",1477748000,0,-1.11,-245200000.,1.77,0.00,0.00%,2025-10-23
MYGN,"Myriad Genetics Inc",725751000,0,-0.35,-127300000.,1.97,0.00,0.00%,2025-11-06
MYRG,"MYR Group Inc",3229093000,43.43,4.79,30260000,1.19,0.00,0.00%,2025-10-29
NABL,"N-Able Inc",1421930000,44.71,0.17,30960000,0.61,0.00,0.00%,2025-11-06
NATL,"NCR Atleos Corporation",2724889000,11.87,3.12,91000000,0.97,0.00,0.00%,2025-11-11
NAVI,"Navient Corp",1212064000,11.95,1.02,131000000,1.34,0.64,5.25%,2025-10-29
NBHC,"National Bank Holdings Corp",1383733000,11.26,3.23,118820000,0.75,1.18,3.24%,2025-10-21
NBTB,"NBT Bancorp Inc",2103619000,12.35,3.25,140640000,0.54,1.39,3.46%,2025-10-27
NE,"Noble Corp Plc",4364511000,17.96,1.53,448350000,1.11,2,7.28%,2025-10-27
NEO,"Neogenomics Inc",1298249000,0,-0.18,-78730000.,1.61,0.00,0.00%,2025-10-28
NEOG,"Neogen Corp",1277718000,24.5,0.24,-1092040000.,1.9,0.00,0.00%,2025-10-09
NGVT,"Ingevity Corp",1980833000,12.26,4.43,-430300000.,1.4,0.00,0.00%,2025-11-04
NHC,"National Healthcare Corp",1890347000,20.67,5.9,101930000,0.58,2.5,2.05%,2025-11-14
NMIH,"Nmi Holdings Inc",2774822000,7.58,4.72,360110000,0.56,0.00,0.00%,2025-11-04
NOG,"Northern Oil and Gas",2107076000,4.14,5.21,520310000,1.61,1.77,8.20%,2025-11-06
NPK,"National Presto Industries",772073000,18.52,5.83,41460000,0.49,1,0.93%,2025-10-27
NPO,"Enpro Inc",4816735000,31.6,7.24,72900000,1.57,1.23,0.54%,2025-11-04
NSIT,"Insight Enterpr",3402330000,11.55,9.36,249690000,1.13,0.00,0.00%,2025-10-30
NTCT,"Netscout Systems",1855094000,16.54,1.56,-366920000.,0.72,0.00,0.00%,2025-11-06
NVRI,"Enviri Corporation",996003000,0,-0.45,-127970000.,1.93,0.00,0.00%,2025-11-10
NWBI,"Northwest Bancshares",1769165000,10.25,1.18,100280000,0.69,0.8,6.61%,2025-10-27
NWL,"Newell Rubbermaid Inc",2032635000,8.82,0.55,-216000000.,1.02,0.28,5.77%,2025-10-31
NWN,"Northwest Natural Gas Company",1853051000,15.37,2.99,78870000,0.57,1.96,4.26%,2025-11-05
NX,"Quanex Building Products Corp",670722000,7,2.09,33060000,0.98,0.32,2.19%,2025-12-11
NXRT,"Nexpoint Residential Trust Inc",776138000,9.53,-1.96,1110000,1.08,2.04,6.67%,2025-10-28
OFG,"OFG Bancorp",1838190000,9.74,4.24,198170000,0.8,1.15,2.79%,2025-10-22
OGN,"Organon & Co.",2412485000,2.63,3.53,864000000,0.63,0.6,6.47%,2025-10-30
OI,"O-I Glass Inc",1882772000,14.55,0.84,-106000000.,0.93,0.00,0.00%,2025-11-04
OII,"Oceaneering International",2315807000,14.01,1.65,147470000,1.5,0.00,0.00%,2025-10-22
OMCL,"Omnicell Inc",1373426000,26.46,1.13,12530000,0.88,0.00,0.00%,2025-10-30
OSIS,"O S I Systems Inc",4113620000,26.15,9.35,149640000,1.32,0.00,0.00%,2025-10-23
OTTR,"Otter Tail Corp",3238076000,11.36,6.8,301660000,0.54,2.043,2.64%,2025-11-03
OUT,"Outfront Media Inc",2968244000,9.69,0.58,258200000,1.84,1.668,9.40%,2025-11-06
OXM,"Oxford Industries",564500000,8.75,4.34,92970000,1.29,3.41,8.98%,2025-12-10
PAHC,"Phibro Anl Htlh A",1610011000,19,2.09,48260000,0.83,0.48,1.21%,2025-11-05
PARR,"Par Pacific Holdings Inc",1793769000,0,-0.29,-33320000.,1.74,0.00,0.00%,2025-11-04
PATK,"Patrick Inds Inc",3249028000,22.55,4.33,138400000,1.34,1.6,1.64%,2025-10-30
PAYO,"Payoneer Global Inc",2089833000,22.31,0.26,121160000,0.95,0.00,0.00%,2025-11-04
PBH,"Prestige Brand Holdings",3055697000,13.56,4.58,214610000,0.44,0.00,0.00%,2025-11-06
PBI,"Pitney Bowes Inc",1939826000,9.97,1.13,-203600000.,1.27,0.26,2.31%,2025-11-06
PCRX,"Pacira Pharm Inc",1027618000,10.89,2.1,-99560000.,0.4,0.00,0.00%,2025-11-05
PDFS,"Pdf Solutions Inc",1084873000,101.74,0.27,4060000,1.54,0.00,0.00%,2025-11-06
PEB,"Pebblebrook Hotel Trust",1278228000,6.74,-0.58,-4240000.,1.85,0.04,0.37%,2025-11-05
PECO,"Phillips Edison & Company Inc",4334456000,13.64,0.55,62690000,0.54,1.242,3.60%,2025-10-23
PENG,"Penguin Solutions Inc",1139198000,17.53,1.24,25390000,2.2,0.00,0.00%,2025-10-07
PENN,"Penn Entertainment Inc",2374042000,0,-0.83,-311500000.,1.6,0.00,0.00%,2025-11-06
PFBC,"Preferred Bank LA",1231023000,9.02,9.46,130660000,0.71,3,3.52%,2025-10-20
PFS,"Provident Financial Services",2385194000,10.26,1.78,115530000,0.91,0.96,5.26%,2025-10-29
PGNY,"Progyny Inc",1662892000,35.16,0.55,54340000,1.34,0.00,0.00%,2025-11-11
PHIN,"Borgwarner Inc",2063857000,12.97,4.09,79000000,1.48,1.06,2.00%,2025-10-28
PI,"Impinj Inc",5859599000,559.53,0.36,40840000,1.83,0.00,0.00%,2025-10-29
PINC,"Premier Inc Cl A",2311400000,21.37,1.31,20270000,0.64,0.84,3.00%,2025-11-04
PIPR,"Piper Jaffray Companies",5811668000,22.8,14.41,181110000,1.45,5.65,1.72%,2025-10-24
PJT,"Pjt Partners Inc Cl A",4305874000,32.69,5.42,238470000,0.76,1,0.56%,2025-11-04
PLAB,"Photronics Inc",1362426000,11.43,2.02,130690000,1.54,0.00,0.00%,2025-12-10
PLAY,"Dave & Buster's Entertainment",624006000,12.86,1.4,58300000,1.97,0.00,0.00%,2025-12-09
PLMR,"Palomar Holdings Inc",3065850000,19.94,5.74,117570000,0.3,0.00,0.00%,2025-11-03
PLUS,"Eplus Inc",1900563000,17.58,4.06,107980000,1.15,0.25,0.35%,2025-11-11
PLXS,"Plexus Corp",4008108000,24.67,6.02,111820000,0.8,0.00,0.00%,2025-10-22
PMT,"Pennymac Mortgage Investment Trust",1019839000,16.28,0.72,160980000,1.29,1.6,13.65%,2025-10-21
POWL,"Powell Inds Inc",3991339000,22.97,14.4,149850000,0.82,1.068,0.32%,2025-11-18
PRA,"Pro-Assurance Corp",1236507000,17.81,1.35,52740000,0.12,0.00,0.00%,2025-11-06
PRAA,"Pra Group Inc",528671000,6.35,2.13,70600000,1.45,0.00,0.00%,2025-11-03
PRDO,"Perdoceo Education Corp",2280500000,14.27,2.46,147590000,0.88,0.54,1.54%,2025-11-04
PRG,"Prog Hldgs Inc",1241681000,9,3.49,197250000,1.79,0.51,1.62%,2025-10-22
PRGS,"Progress Software",1937725000,10.17,4.44,68440000,0.67,0.00,0.00%,2025-09-29
PRK,"Park National Corp",2492289000,15.38,10.08,151420000,0.72,4.77,3.08%,2025-10-27
PRKS,"United Parks & Resorts Inc",2874506000,13.86,3.77,227500000,1.34,0.00,0.00%,2025-11-06
PRLB,"Proto Labs Inc",1245320000,86.93,0.6,16590000,1.24,0.00,0.00%,2025-10-31
PRSU,"Pursuit Attractions and Hospitality Inc",999804000,59.93,0.59,368540000,1.76,0.00,0.00%,2025-11-05
PRVA,"Privia Health Group Inc",3133297000,232.09,0.11,14390000,0.83,0.00,0.00%,2025-11-06
PSMT,"Pricesmart Inc",3747681000,25.71,4.74,138880000,0.83,1.26,1.03%,2025-10-30
PTEN,"Patterson-Uti Energy",2122270000,0,-0.18,-968030000.,1.23,0.32,5.81%,2025-10-22
PTGX,"Protagonist Therapeutics Inc",4821352000,110.71,0.7,275190000,2.2,0.00,0.00%,2025-11-06
PZZA,"Papa John's Intl",1703743000,28.42,1.83,83490000,1.1,1.84,3.54%,2025-11-06
QDEL,"Quidelortho Corp",1910027000,12.02,2.34,-2052000000.,0.27,0.00,0.00%,2025-11-06
QNST,"Quinstreet Inc",815733000,78.89,0.18,4710000,0.77,0.00,0.00%,2025-11-03
QRVO,"Qorvo Inc",8536212000,20.2,4.56,55620000,1.42,0.00,0.00%,2025-11-04
QTWO,"Q2 Holdings Inc",3737778000,98.13,0.61,-38540000.,1.47,0.00,0.00%,2025-11-05
RAL,"Ralliant Corporation",4774496000,0,0.67,303000000,N/A,0.05,0.12%,2025-11-05
RAMP,"Liveramp Holdings Inc",1791673000,85.34,0.32,-810000.,0.9,0.00,0.00%,2025-11-05
RC,"Ready Capital Corp",532419000,9.53,0.34,-435760000.,1.45,0.625,19.29%,2025-11-06
RCUS,"Arcus Biosciences Inc",1752919000,0,-3.17,-283000000.,0.77,0.00,0.00%,2025-11-05
RDN,"Radian Group Inc",4482041000,8.03,4.12,604440000,0.73,1.01,3.05%,2025-11-04
RDNT,"Radnet Inc",5917148000,213.69,0.36,2790000,1.59,0.00,0.00%,2025-11-10
RES,"RPC Inc",957252000,14.97,0.29,91440000,0.83,0.16,3.69%,2025-10-30
REX,"Rex American Resources Corp",1058517000,21.71,1.49,58170000,0.68,0.00,0.00%,2025-12-02
REYN,"Reynolds Consumer Products Inc",4969980000,14.68,1.61,352000000,0.6,0.92,3.89%,2025-10-29
REZI,"Resideo Technologies Inc",6050191000,19.27,2.11,116000000,2.23,0.00,0.00%,2025-11-05
RGR,"Sturm Ruger & Company",721795000,25.23,1.77,30560000,0.09,0.69,1.55%,2025-10-29
RHI,"Robert Half Inc",3189518000,17.91,1.75,251600000,1.02,2.3,7.34%,2025-10-22
RHP,"Ryman Hospitality Properties REIT",5577390000,10.4,4.19,271640000,1.57,4.6,5.20%,2025-11-03
RNST,"Renasant Corp",3240148000,12.27,2.78,195460000,0.89,0.88,2.58%,2025-10-28
ROCK,"Gibraltar Ind Inc",1980550000,15.39,4.36,137340000,1.3,0.00,0.00%,2025-10-30
ROG,"Rogers Corp",1524784000,41.04,2.05,26100000,0.46,0.00,0.00%,2025-10-29
RUN,"Sunrun Inc",4501601000,8.45,2.31,-2846170000.,2.41,0.00,0.00%,2025-11-06
RUSHA,"Rush Enterprises  Cl A",3961664000,14.5,3.51,304150000,0.89,0.73,1.43%,2025-10-29
RWT,"Redwood Trust",709434000,8.71,0.63,54000000,1.43,0.72,13.11%,2025-10-29
RXO,"Rxo Inc",2827136000,143.67,0.12,-290000000.,1.65,0.00,0.00%,2025-11-06
SABR,"Sabre Corp",702235000,0,-0.25,-278760000.,1.52,0.00,0.00%,2025-10-30
SAFE,"Safehold Inc",1105042000,0,1.56,105760000,1.85,0.7,4.55%,2025-10-27
SAFT,"Safety Ins Group Inc",1035133000,14.57,4.77,70730000,0.26,3.62,5.21%,2025-11-04
SAH,"Sonic Automotive",2556469000,11.62,6.44,216000000,0.95,1.43,1.91%,2025-10-23
SANM,"Sanmina Corp",6886957000,26.27,4.92,222540000,1.19,0.00,0.00%,2025-11-03
SBCF,"Seacoast Banking Corp",2568880000,16.8,1.74,120990000,0.94,0.72,2.46%,2025-10-27
SBH,"Sally Beauty Holdings",1458449000,7.92,1.86,153410000,1.34,0.00,0.00%,2025-11-13
SBSI,"Southside Bancshares",816973000,9.6,2.83,88490000,0.64,1.44,5.30%,2025-10-24
SCHL,"Scholastic Corp",714450000,236.83,0.12,-1900000.,1.24,0.8,2.81%,2025-09-18
SCL,"Stepan Company",1031741000,18.18,2.51,50370000,0.96,1.54,3.38%,2025-10-29
SCSC,"Scansource Inc",910197000,11.65,3.57,71550000,1.36,0.00,0.00%,2025-11-06
SCVL,"Shoe Carnival Inc",541438000,8.64,2.29,73770000,1.37,0.585,2.96%,2025-11-20
SDGR,"Schrodinger Inc",1421332000,0,-2.48,-187120000.,1.74,0.00,0.00%,2025-11-11
SEDG,"Solaredge Tech",2198063000,0,-22.76,-1806360000.,1.58,0.00,0.00%,2025-11-05
SEE,"Sealed Air Corp",5076248000,10.65,3.24,264700000,1.36,0.8,2.32%,2025-11-04
SEM,"Select Medical Holdings Corp",1660213000,9.3,1.44,214040000,1.28,18.171,135.71%,2025-10-30
SFBS,"Servisfirst Bancs",4107970000,16.14,4.66,227240000,0.85,1.34,1.78%,2025-10-20
SFNC,"Simmons First Natl",2646582000,11.8,1.46,152690000,0.94,0.848,4.64%,2025-10-16
SHAK,"Shake Shack Inc",3935406000,84.58,1.09,10210000,1.65,0.00,0.00%,2025-10-30
SHEN,"Shenandoah Telecom",722467000,0,-0.62,190390000,0.81,0.1,0.76%,2025-11-06
SHO,"Sunstone Hotel Investors",1747715000,11.08,0.02,43260000,1.29,0.36,3.91%,2025-11-07
SHOO,"Steven Maddens Ltd",2542820000,15.49,2.26,169390000,1.22,0.84,2.40%,2025-11-06
SIG,"Signet Jewelers Ltd",4227575000,10.7,9.65,61200000,1.23,1.22,1.18%,2025-12-04
SITC,"Site Centers Corp",452600000,6.69,6.76,531820000,1.39,0.00,0.00%,2025-10-29
SITM,"Sitime Corp",7090508000,0,-2.58,-93600000.,2.35,0.00,0.00%,2025-11-05
SKT,"Tanger Inc",3700790000,14.93,0.88,98600000,1.36,1.135,3.47%,2025-11-04
SKY,"Champion Homes Inc",4276717000,19.86,3.81,198410000,1.16,0.00,0.00%,2025-11-04
SKYW,"Skywest Inc",4000248000,10.08,9.83,322960000,1.86,0.00,0.00%,2025-10-30
SLG,"SL Green Realty Corp",3750929000,8.68,-0.9,30650000,1.77,3.075,5.85%,2025-10-15
SLVM,"Sylvamo Corp",1695666000,7.98,5.26,302000000,0.97,1.8,4.29%,2025-11-07
SM,"Sm Energy Company",2443922000,3.13,6.79,770290000,2.3,1,4.70%,2025-11-04
SMP,"Standard Motor Products",869625000,10.27,3.85,27500000,0.67,1.22,3.08%,2025-10-29
SMPL,"The Simply Good Foods Company",2469287000,13.57,1.81,139310000,0.53,0.00,0.00%,2025-10-23
SMTC,"Semtech Corp",5881542000,84.72,0.8,-161900000.,2.01,0.00,0.00%,2025-11-24
SNCY,"Sun Country Airlines Holdings Inc",603004000,10.19,1.11,52900000,1.59,0.00,0.00%,2025-10-29
SNDK,"Sandisk Corp",20520122000,0,-0.58,-1641000000.,N/A,0.00,0.00%,2025-11-06
SNDR,"Schneider National Inc",4069607000,30.96,0.75,117000000,1.06,0.38,1.64%,2025-10-30
SNEX,"Stonex Group Inc",5231486000,17.04,5.88,260800000,0.51,0.00,0.00%,2025-11-18
SONO,"Sonos Inc",1995729000,0,-0.65,-38150000.,2.26,0.00,0.00%,2025-11-05
SPNT,"Siriuspoint Ltd",2059646000,16.8,1.05,199900000,0.76,0.00,0.00%,2025-10-30
SPSC,"Sps Commerce Inc",4133977000,38.53,2.83,77050000,0.69,0.00,0.00%,2025-10-30
SPXC,"SPX Corp",8605341000,31.04,5.93,200500000,1.37,0.00,0.00%,2025-10-30
SRPT,"Sarepta Therapeutics",2199520000,0,-0.4,235240000,0.51,0.00,0.00%,2025-11-05
SSTK,"Shutterstock Inc",909553000,9.09,2.82,35930000,1.09,1.29,5.03%,2025-11-04
STAA,"Staar Surgical Company",1235331000,0,-1.23,-20210000.,0.82,0.00,0.00%,2025-10-29
STBA,"S&T Bancorp Inc",1341727000,10.26,3.41,131270000,0.94,1.36,3.89%,2025-10-23
STC,"Stewart Information Services Corp",1953210000,17.98,3.88,73310000,0.96,2.025,2.90%,2025-10-22
STEL,"Stellar Bancorp Inc",1501048000,13.79,2.12,115000000,0.81,0.56,1.92%,2025-10-24
STEP,"Stepstone Group Inc Cl A",7169020000,31.26,1.97,-179560000.,1.37,1.4,2.27%,2025-11-06
STRA,"Strategic Education",1923471000,15.33,5.25,112680000,0.67,2.4,2.98%,2025-11-06
STRL,"Sterling Infrastructure Inc",10816744000,47.79,7.44,257460000,1.38,0.00,0.00%,2025-11-05
